jar_file,sha256,mod_id,mod_name,installed_version,authors,environment,project_url,repository_url,license_name,spdx_identifier,license_type,license_url,license_source,license_version,license_found_in_jar,curseforge_project_id,curseforge_file_id,modrinth_project_id,public_modpack_distribution,curseforge_distribution,jar_redistribution,commercial_server_use,monetized_server_use,modification_allowed,source_disclosure_required,attribution_required,license_file_required,notice_file_required,written_permission_required,confidence,status,notes
MoreCobblemonTweaks-fabric-1.3.3.jar,8adee1d12c9dd86626e5472d6e1bbcb70b08ed62fea5bdd09db9180cc8411cae,more_cobblemon_tweaks,MoreCobblemonTweaks,1.3.3,JustAHuman,*,https://modrinth.com/mod/more-cobblemon-tweaks,https://github.com/JustAHuman-xD/MoreCobblemonTweaks,GNU General Public License v3.0,GPL-3.0-only,COPYLEFT,https://github.com/JustAHuman-xD/MoreCobblemonTweaks/blob/main/LICENSE,Metadata fabric.mod.json,3.0,False,1082538,7593364,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,CONDICIONAL,NÃO,ALTA,APROVADO,
MouseTweaks-fabric-mc1.21-2.26.jar,3e9fa4800fafef616fbf1545d62f5898f55c83fbd4126ce2b48b5e0077243fc0,mousetweaks,Mouse Tweaks,2.26,Ivan Molodetskikh (YaLTeR),client,https://www.curseforge.com/minecraft/mc-mods/mouse-tweaks,https://github.com/YaLTeR/MouseTweaks,BSD 3-Clause License,BSD-3-Clause,PERMISSIVA,https://github.com/YaLTeR/MouseTweaks/blob/main/LICENSE,Metadata fabric.mod.json,3-clause,False,60089,5437294,,SIM,SIM,SIM,SIM,SIM,SIM,NÃO,SIM,SIM,CONDICIONAL,NÃO,ALTA,APROVADO,
NaturesCompass-1.21.1-2.6.0-fabric.jar,ca49039369a0d8a9b8ab0a9e03e838c8ac1a5c7724756ec42762c54e80ed87a3,naturescompass,Nature's Compass,1.21.1-2.6.0-fabric,ChaosTheDude,*,https://www.curseforge.com/minecraft/mc-mods/natures-compass,https://github.com/MattCzyr/NaturesCompass,Creative Commons CC-BY-NC-SA-4.0,CC-BY-NC-SA-4.0,CREATIVE_COMMONS,https://github.com/MattCzyr/NaturesCompass/blob/main/LICENSE,Metadata fabric.mod.json,4.0,False,252848,7892952,,SIM,SIM,SIM,SIM,SIM,NÃO,NÃO,SIM,SIM,CONDICIONAL,NÃO,ALTA,APROVADO,
NoChatReports-FABRIC-1.21.1-v2.9.1.jar,413c3952cbbf641b492bb2e47763ed7e48d1d72db0863d9d2274a74ce5269849,nochatreports,No Chat Reports,1.21.1-v2.9.1,Aizistral,*,https://www.curseforge.com/minecraft/mc-mods/no-chat-reports,https://www.curseforge.com/minecraft/mc-mods/no-chat-reports,WTFPL,WTFPL,PERMISSIVA,https://www.curseforge.com/minecraft/mc-mods/no-chat-reports/blob/main/LICENSE,Metadata fabric.mod.json,2.0,True,634062,5885733,,SIM,SIM,SIM,SIM,SIM,SIM,NÃO,SIM,SIM,CONDICIONAL,NÃO,ALTA,APROVADO,
OpenLoader-fabric-1.21.1-21.1.5.jar,95b48a53035f1b7193916b8202637a582d6680ebdcdb0ce6a0c6c0427a443483,openloader,OpenLoader,21.1.5,Darkhax,*,https://www.curseforge.com/minecraft/mc-mods/open-loader,https://github.com/Darkhax-Minecraft/Open-Loader,GNU Lesser General Public License v2.1,LGPL-2.1-only,COPYLEFT,https://github.com/Darkhax-Minecraft/Open-Loader/blob/main/LICENSE,Metadata fabric.mod.json,2.1,True,354339,6546291,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,CONDICIONAL,NÃO,ALTA,APROVADO,
Ping-Wheel-1.12.2-fabric-1.21.1.jar,9ba63ca5f33c86d0ce3aec2b04fafcc2fbcb8e705e46a7be20ff66382331c3e3,pingwheel,Ping Wheel,1.12.2,Luken,*,https://www.curseforge.com/minecraft/mc-mods/ping-wheel,https://github.com/LukenSkyne/Minecraft-Ping-Wheel,MIT License,MIT,PERMISSIVA,https://github.com/LukenSkyne/Minecraft-Ping-Wheel/blob/main/LICENSE,Metadata fabric.mod.json / JAR embedded,1.0,False,734339,7996933,,SIM,SIM,SIM,SIM,SIM,SIM,NÃO,SIM,SIM,CONDICIONAL,NÃO,ALTA,APROVADO,
SafePastures-1.1.1+1.21.1.jar,41d1c286db3e02a3249346a5efda6f95799ab895aa40c03a87cdcd81a95e4b45,safepastures,Safe Pastures,1.1.1+1.21.1,chadlymasterson,*,https://www.curseforge.com/minecraft/mc-mods/cobblemon-safepastures,,MIT License,MIT,PERMISSIVA,https://www.curseforge.com/minecraft/mc-mods/cobblemon-safepastures,Metadata fabric.mod.json / JAR embedded,1.0,False,1248185,7248017,,CONDICIONAL,NÃO,SIM,SIM,SIM,SIM,NÃO,SIM,SIM,CONDICIONAL,NÃO,ALTA,REVISÃO_MANUAL_NECESSÁRIA,Mod com allowModDistribution=False no CurseForge metadata.
ScalableLux-0.1.0.1+fabric.d0d58ab-all.jar,f32ed8d825c7af90b14ab9f7bbe1293818bcf411fea104ae20d18ecde30f8387,scalablelux,ScalableLux,0.1.0.1+fabric.d0d58ab,Spottedleaf; ishland,*,https://www.curseforge.com/minecraft/mc-mods/scalablelux,https://github.com/RelativityMC/ScalableLux,GNU Lesser General Public License v3.0,LGPL-3.0-only,COPYLEFT,https://github.com/RelativityMC/ScalableLux/blob/main/LICENSE,Metadata fabric.mod.json,3.0,False,1055925,6952368,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,CONDICIONAL,NÃO,ALTA,APROVADO,
Searchables-fabric-1.21.1-1.0.2.jar,0b58a40a41db4a4af4ef84475b0ea330be3b18fdcac2eca68ede46d9f4df3d76,searchables,Searchables,1.0.2,Jaredlll08,client,https://www.curseforge.com/minecraft/mc-mods/searchables,https://github.com/jaredlll08/searchables,MIT License,MIT,PERMISSIVA,https://github.com/jaredlll08/searchables/blob/main/LICENSE,Metadata fabric.mod.json / JAR embedded,1.0,True,858542,5831690,,SIM,SIM,SIM,SIM,SIM,SIM,NÃO,SIM,SIM,CONDICIONAL,NÃO,ALTA,APROVADO,
SimpleTMs-fabric-2.3.3.jar,c5baa07f405433f62218fc3916360d4cda37558d01d493df7a618ac7d78d22c1,simpletms,SimpleTMs,2.3.3,Dragomordor,*,https://www.curseforge.com/minecraft/mc-mods/simpletms-tms-and-trs-for-cobblemon,TODO,MIT License,MIT,PERMISSIVA,TODO/blob/main/LICENSE,Metadata fabric.mod.json / JAR embedded,1.0,True,959184,7319642,,CONDICIONAL,NÃO,SIM,SIM,SIM,SIM,NÃO,SIM,SIM,CONDICIONAL,NÃO,ALTA,REVISÃO_MANUAL_NECESSÁRIA,Mod com allowModDistribution=False no CurseForge metadata.
